,ageEstimate,companyFollowerCount,companyName,companyStaffCount,companyUrn,connectionsCount,country,followable,followersCount,genderEstimate,isPremium,mbrLocation,mbrLocationCode,mbrTitle,memberUrn,posLocation,posTitle,positionId,avgMemberPosDuration,avgCompanyPosDuration,cluster
0,41,198859,Commonwealth Bank,32905,urn:li:company:2848,500,au,1,506,male,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,"Sydney, Australia",Portfolio Executive,240345,760.5,989.9361,1
1,41,198859,Commonwealth Bank,32905,urn:li:company:2848,500,au,1,506,male,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,"Sydney, Australia",Solution Delivery Executive,240346,760.5,989.9361,1
2,41,10047,CommSec,619,urn:li:company:2851,500,au,1,506,male,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,"Sydney, Australia",Project Manager,240348,760.5,747.2308,1
3,41,198859,Commonwealth Bank,32905,urn:li:company:2848,500,au,1,506,male,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,"Sydney, Australia",Project Manager,240350,760.5,989.9361,1
4,30,300723,PayPal,22522,urn:li:company:1482,500,au,1,951,female,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,"Sydney, Australia",Senior Marketing Manager,229893,395.2857,683.3496,1
5,30,71403,Optus,10913,urn:li:company:2711,500,au,1,951,female,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,"Sydney, Australia","Digital and Social Engagement Leader, Optus Business",229894,395.2857,977.6553,1
6,30,4385293,IBM,568533,urn:li:company:1009,500,au,1,951,female,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,Greater New York City Area,Social Brand Marketing,229895,395.2857,1188.7339,1
7,30,4385293,IBM,568533,urn:li:company:1009,500,au,1,951,female,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,Australia,Brand Strategist,229896,395.2857,1188.7339,1
8,30,4385293,IBM,568533,urn:li:company:1009,500,au,1,951,female,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,Australia,Brand Expression Lead,229897,395.2857,1188.7339,1
9,30,4385293,IBM,568533,urn:li:company:1009,500,au,1,951,female,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,"St Leonards, Australia",Brand System Graduate,229898,395.2857,1188.7339,1
