app_mapping,app_name,category,globe_mapping,rule
sott_facebook,facebook,sott,sott,\w*\.\w*facebook\w*\.\w*|\w*\.fbcdn?\.\w*|\.fb\.\w*
sott_instagram,instagram,sott,sott,\w*\.instagram\.\w*
sott_wechat,wechat,sott,sott,\w*\.qq\.\w*
sott_tencent,tencent,sott,sott,\w*\.\w*tencent\.\w*
sott_kakao,kakao,sott,sott,\w*\.talk\.kakao\.\w*
sott_line,line,sott,sott,\w*\.line\.\w*
sott_snapchat,snapchat,sott,sott,\w*\.snapchat\.\w*
sott_snapchat,snapchat,sott,sott,\w*\.snapchatcdn?\.\w*
sott_linkedin,linkedin,sott,sott,\w*\.linkedin\.\w*
sott_grindr,grindr,sott,sott,\w*\.grindr\.\w*|\w*\.grindrcdn?\.\w*
sott_twitter,twitter,sott,sott,\w*[\.-]twitter[\.-]\w*|\w*\.twittercdn?\.\w*
sott_whatsapp,whatsapp,sott,sott,\w*\.whatsapp\.\w*|\w*\.whatsappcdn?\.\w*
sott_skype,skype,sott,sott,\w*\.skype\.\w*|\w*\.skypecdn?\.\w*
sott_telegram,telegram,sott,sott,\w*\.telegram\.\w*|\w*\.telegramcdn?\.\w*
sott_tinder,tinder,sott,sott,\w*\.tinder\.\w*|\w*\.tindercdn?\.\w*
sott_viber,viber,sott,sott,\w*\.\w*viber\.\w*|\w*\.vibercdn?\.\w*
music_spotify,spotify,music,music,\w*\.?spotify\w*\.\w*|\w*\.spotifycdn?\.\w*
music_applemusic,applemusic,music,music,\w*\.?itunes\.apple\.\w*|\w*\.applemusiccdn?\.\w*
music_mcs,mcs,music,music,\w*\.manilaconcertscene\.\w*
music_musically,musically,music,music,\w*\.?musical\.ly\.\w*
music_smule,smule,music,music,\w*\.?smule\.\w*
music_spinnr,spinnr,music,music,\w*\.?spinnr\.\w*
music_tidal,tidal,music,music,\w*\.?tidal\.\w*
music_deezer,deezer,music,music,\w*\.?deezer\.\w*
music_clipz,clipz,music,music,\w*\.?clip\.\w*
music_tiktok,tiktok,music,music,\w*\.?tiktok\.\w*|tiktok\w*[\.-]\w*|\w*[\.-]tiktok\w*$
music_wesing,wesing,music,music,\w*\.?wesing\.\w*|wesingapp\.\w*
music_amazonmusic,amazonmusic,music,music,\w*\.?music\.amazon\.\w*
music_yokee,yokee,music,music,\w*\.?yokee\.\w*
music_redk,redk,music,music,\w*\.?redkaraoke\.\w*
music_soundc,soundc,music,music,\w*\.?soundcloud\.\w*
sports_nba,nba,sports,sports,\w*\.nba\w*\.\w*|\w*\.nbacdn?\.\w*
sports_wwe,wwe,sports,sports,\w*\.\w*wwe\w*\.\w*|\w*\.wwecdn?\.\w*
sports_ufc,ufc,sports,sports,\w*\.\w*ufc\w*\.\w*|\w*\.ufccdn?\.\w*
sports_pba,pba,sports,sports,\w*\.pba\.\w*|\w*\.pbacdn?\.\w*
sports_espn,espn,sports,sports,\w*\.espn\.\w*|\w*\.espncdn?\.\w*
sports_bleacherreport,bleacherreport,sports,sports,\w*\.bleacherreport\.\w*|\w*\.bleacherreportcdn?\.\w*
sports_sia,sia,sports,sports,\w*\.sports\w*\.\w*|\w*\.sportscdn?\.\w*
sports_spin,spin,sports,sports,\w*\.spin\.\w*|\w*\.spincdn?\.\w*
sports_fox,fox,sports,sports,\w*\.foxsports\.\w*|\w*\.foxsportscdn?\.\w*
sports_onefc,onefc,sports,sports,\w*\.\w*onefc\w*\.\w*|\w*\.onefccdn?\.\w*
sports_cp,cp,sports,sports,\w*\.clutchpoints\.\w*|\w*\.clutchpointscdn?\.\w*
video_hooq,hooq,video,video,\w*hooq\.\w*
video_disney,disney,video,video,\w*disney\.\w* | \w*disneylife\.\w*| \w*disneyjunior\.\w*
video_netflix,netflix,video,video,\w*netflix\.\w*
video_iflix,iflix,video,video,\w*iflix\.\w*
video_youtube,youtube,video,video,\w*\.?youtube\.\w*
video_fox,fox,video,video,\w*fox\w*
video_primevideo,primevideo,video,video,\w*primevideo\w*
video_iwantv,iwantv,video,video,\w*iwantv\w*
